,installation_id,airly_sensor,sponsor,elevation,geolocation_latitude,geolocation_longitude,address_country,address_city,address_street,address_number
840,2266,True,Brzeszcze (gmina),242.79,49.98716,19.18783,Poland,Wilczkowice,,19
841,753,True,Stryszów (gmina),346.3,49.83931,19.68828,Poland,Leśnica,,
842,6161,True,Stowarzyszenie Płuca Kalwarii,297.57,49.862702,19.618463,Poland,,,
843,2642,True,Aviva,259.18,49.90372,19.482743,Poland,Tomice,,
844,5636,True,Gmina Bielawa,316.91,50.684679,16.611511,Poland,Bielawa,plac Wolności,1
845,2669,True,Aviva,268.5,49.981295,19.236248,Poland,Grojec,Główna,1
846,111,False,State Environmental Monitoring Station,424.57,50.768729,16.269677,Poland,Wałbrzych,Nowy Świat,5D
847,9528,False,Umweltbundesamnt,208.46,51.175669,14.44377,Germany,Bautzen,Paul-Neck-Straße,30
848,7509,True,Brzeszcze (gmina),240.19,50.005687,19.157366,Poland,Brzeszcze,Bór,65
849,1067,True,eurobank,428.71,50.770167,16.277295,Poland,Wałbrzych,Juliusza Słowackiego,"14, 14B"
850,3116,True,Gmina Bielawa,306.02,50.687704,16.625748,Poland,Bielawa,Unnamed Road,
851,7594,True,Anonymous SmogFighter,486.78,49.845428,19.713855,Poland,Lanckorona,Kazimierza Wielkiego,4
852,5738,True,Wadowice,361.85,49.887642,19.575122,Poland,Klecza Dolna,,
853,9756,False,DEFRA UK,36.65,52.614192,1.301976,United Kingdom,,Lakenfields,52
854,3317,True,Anonymous SmogFighter,334.68,50.903227,15.731404,Poland,Jelenia Góra,plac Wyszyńskiego,45
855,2299,True,Aviva,345.93,50.90292,15.73595,Poland,Jelenia Góra,Konopnickiej,1
856,536,True,Podegrodzie (gmina),307.56,49.57597,20.594151,Poland,Podegrodzie,,
857,1087,True,eurobank,343.96,50.903091,15.73874,Poland,Jelenia Góra,1 Maja,12
858,2177,True,Aviva,347.07,50.902498,15.74309,Poland,Jelenia Góra,Klonowica,7
859,9725,False,DEFRA UK,87.42,52.619822,-1.127311,United Kingdom,,,
860,8796,True,Wadowice,316.0,49.90144,19.549228,Poland,Babica,,
861,10010,True,Czerwionka Leszczyny,256.27,50.153738,18.683835,Poland,Czerwionka-Leszczyny,Furgoła,69
862,9456,False,Umweltbundesamnt,235.9,51.839381,10.790143,Germany,Wernigerode,Rudolf-Breitscheid-Straße,19
863,2745,True,Aviva,484.61,49.724334,20.138884,Poland,Kasina Wielka,Droga Wojewódzka 964,761
864,3115,True,Gmina Bielawa,287.03,50.695248,16.63624,Poland,Bielawa,Wolności,24
865,7995,True,Gmina Sułkowice,326.82,49.832486,19.791273,Poland,Sułkowice,Partyzantów,50A
866,3118,True,kameleon.pro tkaniny obiciowe i akcesoria tapicerskie,299.31,49.869034,19.671461,Poland,Kalwaria Zebrzydowska,Jagiellońska,27
867,9700,False,DEFRA UK,144.35,52.60562,-2.030523,United Kingdom,,Hunt's Lane,12
868,6160,True,Stowarzyszenie Płuca Kalwarii,307.36,49.87094,19.676881,Poland,Kalwaria Zebrzydowska,Targowa,6
869,3528,True,Powiat mikołowski,254.57,50.104409,18.882384,Poland,Gostyń,Pszczyńska,366
870,2127,True,Myślenice,373.42,49.823521,19.84178,Poland,Jasienica,,
871,9794,True,Miasto Szczawno-Zdrój,480.7,50.797911,16.24091,Poland,Szczawno-Zdrój,Bolesława Prusa,15A
872,6970,True,Leśna,236.14,51.023057,15.260298,Poland,Smolnik,Smolnik,51B
873,7996,True,Gmina Sułkowice,294.26,49.838326,19.799049,Poland,Sułkowice,11 Listopada,29
874,6968,True,Leśna,237.89,51.023211,15.263258,Poland,Leśna,Rynek,19
875,7802,True,WESTCOTEC,20.46,52.629406,1.296735,United Kingdom,,Castle Meadow,27
876,6969,True,Leśna,236.43,51.0245,15.266713,Poland,Leśna,Pocztowa,5
877,979,True,Producent Obuwia RYŁKO,282.23,49.874428,19.687885,Poland,Brody,,
878,6271,True,Zator,248.55,49.946631,19.449838,Poland,Graboszyce,,
879,6,False,State Environmental Monitoring Station,345.54,50.913433,15.765608,Poland,Jelenia Góra,Wiejska,80
880,9796,True,Miasto Szczawno-Zdrój,423.8,50.800813,16.251516,Poland,Szczawno-Zdrój,Tadeusza Kościuszki,2E
881,8018,True,Aviva,269.45,49.972698,19.368081,Poland,Piotrowice,Andrychowska,222
882,2896,True,Aviva,232.78,51.028115,15.262978,Poland,Leśna,Baworowo,65
883,9793,True,Miasto Szczawno-Zdrój,418.42,50.802204,16.254276,Poland,Szczawno-Zdrój,Tadeusza Kościuszki,17
884,9795,True,Miasto Szczawno-Zdrój,423.27,50.803613,16.253211,Poland,Szczawno-Zdrój,Kolejowa,14
885,9733,False,DEFRA UK,56.4,52.638676,-1.124228,United Kingdom,,Crafton Street East,6
886,9340,False,Umweltbundesamnt,208.74,51.90158,10.48132,Germany,Goslar,Eichenweg,52
887,2390,True,Powiat mikołowski,293.88,50.146382,18.778963,Poland,Orzesze,Świętego Wawrzyńca,21
888,9792,True,Miasto Szczawno-Zdrój,420.2,50.804311,16.255176,Poland,Szczawno-Zdrój,Wojska Polskiego,4A
889,5735,True,Wadowice,343.96,49.907365,19.604883,Poland,Wysoka,,
890,9791,True,Miasto Szczawno-Zdrój,409.71,50.807361,16.258931,Poland,Szczawno-Zdrój,Topolowa,5
891,655,True,Tychy,252.23,50.089848,18.994265,Poland,Tychy,Parkowa,17
892,8877,True,Oświęcimski Alarm Smogowy,236.29,50.025437,19.216444,Poland,Oświęcim,Kościelecka,1
